platform,gitRev,test,nsamples,cpuTime,realTime,branchInstructions,branchMisses,cacheMisses,cpuCycles,instructions,contextSwitches,cpuMigrations,pageFaults
base,perf-20592cb4,IFFT,100000000,3.689143e-01,3.689221e-01,87712009,10295,11069,1422514380,3610492041,2,0,66
base,perf-20592cb4,IFFT,100000000,3.646659e-01,3.646643e-01,87712499,10243,6272,1415987443,3610486149,1,0,65
base,perf-20592cb4,IFFT,100000000,3.716055e-01,3.715963e-01,87706492,10508,5554,1436697771,3610459384,0,0,65
base,perf-20592cb4,IFFT,100000000,3.671182e-01,3.671166e-01,87709196,9761,7070,1416297348,3610480976,1,0,66
base,perf-20592cb4,IFFT,100000000,3.698641e-01,3.698548e-01,87707774,9909,4772,1433511688,3610469474,0,0,65
base,perf-20592cb4,IFFT,100000000,3.670996e-01,3.671097e-01,87708749,8760,6824,1414822264,3610470164,1,0,65
base,perf-20592cb4,IFFT,100000000,3.650321e-01,3.650295e-01,87710068,9463,5030,1412407365,3610479347,1,0,66
base,perf-20592cb4,IFFT,100000000,3.710610e-01,3.715719e-01,87721341,10011,6512,1421016814,3610536193,18,0,66
base,perf-20592cb4,IFFT,100000000,3.720561e-01,3.724898e-01,87726789,10231,7302,1419598841,3610566589,18,0,66
base,perf-20592cb4,IFFT,100000000,3.708657e-01,3.708563e-01,87707230,10744,6681,1432969282,3610464707,0,0,65
base,perf-20592cb4,IFFT,100000000,3.693098e-01,3.693005e-01,87705731,9150,7243,1420178420,3610457625,0,0,64
base,perf-20592cb4,IFFT,100000000,3.673085e-01,3.673079e-01,87707270,10635,6274,1422387780,3610469692,1,0,64
base,perf-20592cb4,IFFT,100000000,3.653492e-01,3.657509e-01,87718918,10356,7502,1414145095,3610522579,19,0,64
base,perf-20592cb4,IFFT,100000000,3.807101e-01,3.808911e-01,88712826,22176,19875,1443431590,3614716854,6,0,65
base,perf-20592cb4,IFFT,100000000,3.661923e-01,3.662182e-01,87711667,9938,4875,1416861374,3610487447,3,0,66
base,perf-20592cb4,IFFT,100000000,3.656626e-01,3.656534e-01,87708635,10089,7149,1418189505,3610471762,0,0,64
base,perf-20592cb4,IFFT,100000000,3.681137e-01,3.681139e-01,87711890,11053,7771,1426658158,3610493171,1,0,66
base,perf-20592cb4,IFFT,100000000,3.679708e-01,3.679616e-01,87706379,10263,7272,1417603838,3610460672,0,0,66
base,perf-20592cb4,IFFT,100000000,3.713863e-01,3.713767e-01,87710667,10133,7569,1418287447,3610482758,0,0,66
base,perf-20592cb4,IFFT,100000000,3.836836e-01,3.836830e-01,87714103,10566,10676,1475915654,3610502676,1,0,65
base,perf-20592cb4,IFFT,100000000,3.817190e-01,3.817382e-01,87714398,12166,9176,1468615066,3610497757,1,0,64
base,perf-20592cb4,IFFT,100000000,3.759862e-01,3.761056e-01,87717354,12284,8507,1433168976,3610518671,3,0,66
base,perf-20592cb4,IFFT,100000000,3.753316e-01,3.753296e-01,87708021,11626,9490,1432366380,3610471169,1,0,64
base,perf-20592cb4,IFFT,100000000,3.678922e-01,3.678830e-01,87709623,10278,7704,1417521100,3610478809,0,0,66
base,perf-20592cb4,IFFT,100000000,3.665612e-01,3.668004e-01,87820219,10899,9914,1416919378,3610940851,9,0,66
base,perf-20592cb4,IFFT,100000000,3.665167e-01,3.665075e-01,87711749,9632,6742,1418355349,3610480311,0,0,65
base,perf-20592cb4,IFFT,100000000,3.712186e-01,3.712177e-01,87714538,11589,7780,1436656671,3610502626,1,0,65
base,perf-20592cb4,IFFT,100000000,3.681490e-01,3.681484e-01,87706318,10926,9722,1419631504,3610460821,1,0,65
base,perf-20592cb4,IFFT,100000000,3.693672e-01,3.693579e-01,87710641,12042,7135,1427814005,3610484554,0,0,66
base,perf-20592cb4,IFFT,100000000,3.714351e-01,3.718983e-01,87719647,11162,6547,1431201056,3610530618,16,0,65
base,perf-20592cb4,IFFT,100000000,3.690037e-01,3.689944e-01,87706187,9176,6470,1414040218,3610461281,0,0,64
base,perf-20592cb4,IFFT,100000000,3.660193e-01,3.664244e-01,87723424,10194,6106,1416621076,3610548678,16,1,66
base,perf-20592cb4,IFFT,100000000,3.693023e-01,3.693098e-01,87711906,10481,6645,1427436736,3610492809,2,0,66
base,perf-20592cb4,IFFT,100000000,3.662366e-01,3.666543e-01,87720279,9646,9061,1417524868,3610529009,17,0,64
base,perf-20592cb4,IFFT,100000000,3.644437e-01,3.644345e-01,87707265,9127,6050,1415869989,3610465254,0,0,66
base,perf-20592cb4,IFFT,100000000,3.662218e-01,3.664179e-01,87752524,11097,6529,1417438770,3610662907,7,0,66
base,perf-20592cb4,IFFT,100000000,3.646042e-01,3.645950e-01,87712626,9267,5052,1413856176,3610490723,0,0,65
base,perf-20592cb4,IFFT,100000000,3.658562e-01,3.658470e-01,87713597,9217,6075,1417144301,3610502238,0,0,63
base,perf-20592cb4,IFFT,100000000,3.649068e-01,3.649046e-01,87709663,8609,10087,1414163019,3610484336,1,0,65
base,perf-20592cb4,IFFT,100000000,3.657143e-01,3.657052e-01,87711123,8871,17254,1414926497,3610486995,0,0,65
base,perf-20592cb4,IFFT,100000000,3.637530e-01,3.642467e-01,87722510,10058,5381,1410626091,3610537872,26,0,64
base,perf-20592cb4,IFFT,100000000,3.668018e-01,3.672029e-01,87715928,9152,5692,1415898750,3610503173,18,0,65
base,perf-20592cb4,IFFT,100000000,3.666394e-01,3.667996e-01,87848754,12304,7724,1418203961,3611070065,5,0,65
base,perf-20592cb4,IFFT,100000000,3.687382e-01,3.687589e-01,87707078,9368,8912,1419626724,3610462682,2,0,65
base,perf-20592cb4,IFFT,100000000,3.706962e-01,3.707165e-01,87713206,11182,4934,1427645770,3610497505,3,0,65
base,perf-20592cb4,IFFT,100000000,3.678927e-01,3.681388e-01,87866622,12892,11693,1418615022,3611145723,8,0,66
base,perf-20592cb4,IFFT,100000000,3.656502e-01,3.656574e-01,87715716,9836,6270,1415761105,3610506703,1,0,66
base,perf-20592cb4,IFFT,100000000,3.657703e-01,3.657690e-01,87709979,9532,6475,1415689411,3610481518,1,0,66
base,perf-20592cb4,IFFT,100000000,3.667504e-01,3.667550e-01,87709369,8578,5085,1413795991,3610470399,2,0,63
base,perf-20592cb4,IFFT,100000000,3.684598e-01,3.684505e-01,87714045,9457,7809,1424129063,3610503604,0,0,65
base,perf-20592cb4,IFFT,100000000,3.646080e-01,3.645989e-01,87709424,8863,6134,1411190261,3610478018,0,0,66
base,perf-20592cb4,IFFT,100000000,3.661906e-01,3.661892e-01,87708185,9687,6390,1419040176,3610475690,1,0,64
base,perf-20592cb4,IFFT,100000000,3.682337e-01,3.682346e-01,87718699,9721,6778,1420559692,3610520131,1,0,66
base,perf-20592cb4,IFFT,100000000,3.659595e-01,3.659502e-01,87707871,9054,7083,1415846630,3610469206,0,0,64
base,perf-20592cb4,IFFT,100000000,3.678960e-01,3.678931e-01,87711336,10112,5969,1413950214,3610489979,1,0,65
base,perf-20592cb4,IFFT,100000000,3.687512e-01,3.687514e-01,87715336,9448,5227,1418398618,3610507651,2,0,65
base,perf-20592cb4,IFFT,100000000,3.681619e-01,3.681767e-01,87714706,8944,5845,1421411740,3610508035,1,0,66
base,perf-20592cb4,FFT,100000000,2.020930e-01,2.020878e-01,26365691,9370,7323,768085831,1677181664,0,0,69
base,perf-20592cb4,FFT,100000000,2.106310e-01,2.106330e-01,26356550,10691,7608,794550377,1677131444,1,0,64
base,perf-20592cb4,FFT,100000000,1.984797e-01,1.984745e-01,26346609,8603,5556,767167201,1677074537,0,0,64
base,perf-20592cb4,FFT,100000000,1.990629e-01,1.990577e-01,26355581,8568,3864,770287411,1677126996,0,0,65
base,perf-20592cb4,FFT,100000000,2.010936e-01,2.010883e-01,26352572,8233,6068,766220664,1677110059,0,0,65
base,perf-20592cb4,FFT,100000000,2.033886e-01,2.034879e-01,26686591,15104,7555,781787269,1678496930,5,0,65
base,perf-20592cb4,FFT,100000000,2.006075e-01,2.006107e-01,26356494,8302,6429,766935903,1677126170,1,0,66
base,perf-20592cb4,FFT,100000000,2.020740e-01,2.022199e-01,26865377,15376,6537,774906990,1679254527,4,0,65
base,perf-20592cb4,FFT,100000000,2.002391e-01,2.002341e-01,26352663,8197,7252,766030630,1677106839,0,0,65
base,perf-20592cb4,FFT,100000000,2.008153e-01,2.011167e-01,26365086,10193,6636,774984310,1677177874,11,0,65
base,perf-20592cb4,FFT,100000000,2.013511e-01,2.013456e-01,26349755,8527,7741,766311212,1677095081,0,0,64
base,perf-20592cb4,FFT,100000000,2.009923e-01,2.009962e-01,26348425,8780,7163,767462525,1677084378,1,0,65
base,perf-20592cb4,FFT,100000000,2.023859e-01,2.023806e-01,26350662,9323,6985,775606235,1677097032,0,0,63
base,perf-20592cb4,FFT,100000000,2.034552e-01,2.035425e-01,27103652,14356,6807,779819254,1680258293,3,0,65
base,perf-20592cb4,FFT,100000000,1.979930e-01,1.979878e-01,26354552,8143,6789,764365944,1677116831,0,0,65
base,perf-20592cb4,FFT,100000000,1.985338e-01,1.985287e-01,26349461,8760,6060,768667886,1677089050,0,0,65
base,perf-20592cb4,FFT,100000000,1.981162e-01,1.982304e-01,26370346,8828,7874,763307227,1677181839,4,0,66
base,perf-20592cb4,FFT,100000000,2.031243e-01,2.031530e-01,26352646,8547,2958,782462439,1677105781,2,0,65
base,perf-20592cb4,FFT,100000000,1.994256e-01,1.994206e-01,26353434,8717,4698,766462609,1677116309,0,0,64
base,perf-20592cb4,FFT,100000000,2.046877e-01,2.046826e-01,26347899,8668,4579,785112960,1677084349,0,0,66
base,perf-20592cb4,FFT,100000000,2.073203e-01,2.074604e-01,27516964,15915,10577,784357032,1682028644,6,0,63
base,perf-20592cb4,FFT,100000000,2.046518e-01,2.046466e-01,26348249,9207,6656,782857355,1677090041,0,0,63
base,perf-20592cb4,FFT,100000000,2.042588e-01,2.042612e-01,26358974,9852,8800,777848221,1677143936,1,0,65
base,perf-20592cb4,FFT,100000000,2.015104e-01,2.018175e-01,26357626,10055,7043,768652348,1677131669,11,0,65
base,perf-20592cb4,FFT,100000000,2.008575e-01,2.008524e-01,26348836,8280,6477,765689069,1677086147,0,0,65
base,perf-20592cb4,FFT,100000000,2.009347e-01,2.009410e-01,26355656,9136,7243,774355099,1677127357,2,0,64
base,perf-20592cb4,FFT,100000000,2.067041e-01,2.068262e-01,26352414,9234,4210,796279121,1677107572,2,0,66
base,perf-20592cb4,FFT,100000000,2.053944e-01,2.053892e-01,26349332,8920,6044,794420973,1677095962,0,0,65
base,perf-20592cb4,FFT,100000000,2.056499e-01,2.058640e-01,26360292,10622,9208,783294289,1677147746,6,1,65
base,perf-20592cb4,FFT,100000000,2.076555e-01,2.076500e-01,26348942,9728,6493,784587213,1677091587,0,0,64
