platform,gitRev,test,nsamples,cpuTime,realTime,branchInstructions,branchMisses,cacheMisses,cpuCycles,instructions,contextSwitches,cpuMigrations,pageFaults
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.721232e-01,5.721091e-01,449285743,1763052,29454,2240138343,4893198016,0,0,521
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.750107e-01,5.750392e-01,449052988,1646702,27210,2235845712,4892008664,3,1,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.791093e-01,5.791565e-01,449043275,1665821,21131,2252305922,4891941092,2,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.731015e-01,5.730945e-01,449038979,1649317,28151,2236612577,4891920644,1,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.775032e-01,5.774975e-01,449045960,1653653,34640,2251322007,4891956445,1,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.722631e-01,5.722487e-01,449032045,1734113,16259,2240816467,4891883965,0,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.732066e-01,5.732065e-01,449034951,1645920,24238,2243611259,4891893569,2,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.739647e-01,5.739505e-01,449037163,1645363,23558,2245949776,4891911280,0,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.717834e-01,5.717830e-01,449040866,1734359,20106,2236145495,4891919096,2,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.721493e-01,5.721446e-01,449040268,1709253,29881,2236586350,4891929057,1,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.757010e-01,5.757739e-01,449044892,1690707,20151,2241583374,4891955488,5,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.805158e-01,5.805169e-01,449040061,1649498,27967,2240055047,4891923755,1,0,388
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.738153e-01,5.741388e-01,449479135,1661565,31016,2232291387,4893811145,9,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.745063e-01,5.745006e-01,449039257,1692579,12230,2241030203,4891924646,1,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.715907e-01,5.715767e-01,449045051,1663034,17176,2238630126,4891943876,0,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.733828e-01,5.733851e-01,449040742,1656911,13743,2243380017,4891920129,3,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.719752e-01,5.719825e-01,449037850,1705191,18573,2234185208,4891924323,2,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.722366e-01,5.722225e-01,449036136,1650464,11506,2234983593,4891904766,0,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.736505e-01,5.736522e-01,449038417,1654533,26552,2240758986,4891909045,2,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.785992e-01,5.785924e-01,449042716,1957111,21239,2258254338,4891947676,1,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.742964e-01,5.743136e-01,449039085,1659032,15332,2237989043,4891923612,2,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.734972e-01,5.734915e-01,449044700,1668068,21361,2243579327,4891945144,1,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.733428e-01,5.733504e-01,449036410,1696421,15440,2239973113,4891891853,2,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.750042e-01,5.749973e-01,449037654,1660695,10217,2248215101,4891915873,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,6.054204e-01,6.054195e-01,449044109,1683799,23130,2354886752,4891948055,1,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.741145e-01,5.741061e-01,449037721,1672096,23055,2240076422,4891910345,1,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.852206e-01,5.852134e-01,449039948,1686170,12080,2234176823,4891930385,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.753846e-01,5.754002e-01,449039647,1667897,21143,2241834429,4891925043,2,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.753867e-01,5.753849e-01,449036128,1696827,22188,2245173257,4891905148,2,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.745045e-01,5.745065e-01,449034208,1668493,18446,2243936486,4891884233,1,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.823130e-01,5.825845e-01,449102051,1710008,11914,2274147971,4892191657,11,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.745268e-01,5.745127e-01,449034031,1670709,18035,2236806359,4891899499,0,0,383
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.778754e-01,5.778784e-01,449044236,1668117,28550,2235941986,4891958472,3,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.710070e-01,5.710008e-01,449043378,1660879,19814,2236500228,4891943796,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.738134e-01,5.737993e-01,449043631,1733557,14628,2216737074,4891957163,0,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,6.298491e-01,6.298434e-01,449050079,1686775,16882,2463884040,4891985953,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.750851e-01,5.750767e-01,449034291,2041822,16485,2252429547,4891888853,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.749761e-01,5.752503e-01,449102837,1738228,18278,2242630089,4892196755,10,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.731903e-01,5.731838e-01,449040455,1666236,15799,2243869326,4891921837,1,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.725048e-01,5.725242e-01,449039426,1649053,15583,2237764740,4891924414,2,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.761764e-01,5.764142e-01,449100406,1735780,15675,2238926675,4892195157,10,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.713523e-01,5.713381e-01,449036322,1647572,25542,2237618762,4891914296,0,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.747425e-01,5.747344e-01,449039086,1679006,17117,2236731758,4891926494,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.756907e-01,5.760094e-01,449119943,1652209,18927,2247170232,4892266856,11,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.738820e-01,5.738745e-01,449033376,1678747,14916,2244683215,4891891552,1,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.735515e-01,5.735448e-01,449044419,1658134,16887,2235047483,4891943095,1,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.706966e-01,5.706825e-01,449035057,1640197,10699,2231157964,4891895991,0,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.778987e-01,5.778940e-01,449037681,1655662,27273,2258392914,4891916904,1,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.729755e-01,5.729614e-01,449034435,1654870,19200,2241847541,4891899451,0,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.722040e-01,5.724696e-01,449107442,1679815,17525,2237756304,4892215903,11,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.727544e-01,5.727507e-01,449035197,1678527,27961,2238612872,4891894209,1,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.723670e-01,5.723532e-01,449035153,1660725,18152,2238976991,4891897989,0,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.709131e-01,5.709083e-01,449037487,2049290,17368,2235824147,4891914915,1,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.724962e-01,5.724820e-01,449034167,1733237,15098,2240461834,4891895284,0,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.752813e-01,5.755611e-01,449104690,1658345,18747,2240579799,4892211282,11,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.714865e-01,5.714726e-01,449042089,1661695,17167,2234111468,4891944629,0,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.848603e-01,5.848677e-01,449049647,1652037,13237,2237165502,4891990645,2,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.764763e-01,5.765725e-01,449038332,1684541,20154,2248139066,4891902084,3,0,383
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.722976e-01,5.722833e-01,449038275,1733114,20614,2239576689,4891918027,0,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.792414e-01,5.792353e-01,449042443,1669866,17917,2260602646,4891939119,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.746662e-01,5.746520e-01,449033761,1648364,19793,2244133267,4891887696,0,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.712823e-01,5.712751e-01,449044101,1642543,19000,2233284662,4891943890,1,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.720541e-01,5.720398e-01,449034807,1733709,33735,2237268213,4891904353,0,0,383
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.771206e-01,5.771321e-01,449035416,1654351,18780,2255397034,4891902108,2,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.716284e-01,5.716276e-01,449046835,1734000,27534,2236641900,4891964010,3,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.743991e-01,5.743850e-01,449032783,1662258,17424,2243758767,4891886853,0,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.731816e-01,5.731744e-01,449037121,1671106,18557,2243168940,4891906707,1,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.712889e-01,5.712749e-01,449034027,1672943,16130,2233842567,4891887129,0,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.732295e-01,5.732214e-01,449035413,1671484,11783,2240423496,4891903113,1,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.704897e-01,5.707276e-01,449102492,1734296,17110,2232151791,4892196947,11,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.716843e-01,5.716865e-01,449034117,1657246,13161,2237479769,4891895646,1,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.768131e-01,5.768055e-01,449042111,1662539,17552,2249471658,4891943291,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,6.216997e-01,6.216844e-01,449048012,1675107,283216,2389687526,4891975637,0,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.768554e-01,5.768500e-01,449043465,1667972,26251,2250812474,4891937755,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.770754e-01,5.770696e-01,449043754,1669050,13551,2244590411,4891951294,1,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.862020e-01,5.863080e-01,449041747,1652355,46925,2253775040,4891936023,2,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.883891e-01,5.883841e-01,449041089,1653511,28002,2252665797,4891927131,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.948695e-01,5.948730e-01,449039101,1666145,59057,2270009440,4891929593,1,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.858284e-01,5.858522e-01,449061900,1690078,49403,2250932763,4892036223,3,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.952847e-01,5.952699e-01,449039527,1687932,20295,2241546135,4891924057,0,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.811610e-01,5.811467e-01,449046525,1662187,33427,2252117610,4891963229,1,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.890628e-01,5.890573e-01,449040164,1664388,32871,2244876457,4891932498,1,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,6.350952e-01,6.350987e-01,449044211,1677874,39856,2441996756,4891951082,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,6.427226e-01,6.427364e-01,449065174,1670784,75267,2500827325,4892062693,2,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,6.238955e-01,6.238890e-01,449050450,1715611,18564,2427019296,4891987154,1,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.782133e-01,5.781990e-01,449044199,1653823,21926,2237618468,4891956110,0,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.729635e-01,5.729660e-01,449037793,1652955,13549,2243117881,4891920152,3,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.726520e-01,5.726377e-01,449034375,1644536,15573,2237736785,4891902020,0,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.744315e-01,5.744228e-01,449033972,1672488,16178,2243587204,4891894328,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.884792e-01,5.884857e-01,449065865,1717519,21703,2252413792,4892058888,1,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.750867e-01,5.751154e-01,449047989,1660338,26520,2237552800,4891975305,3,0,383
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.720773e-01,5.723451e-01,449105849,1735440,29334,2238828057,4892214064,11,0,386
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.766152e-01,5.766013e-01,449031607,1669227,22088,2243612119,4891872087,0,0,383
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.778653e-01,5.781299e-01,449097864,1714215,34733,2254515029,4892179116,10,0,387
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.723014e-01,5.722872e-01,449035930,1951222,13634,2239784529,4891905336,0,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.773508e-01,5.776917e-01,449498523,1680656,35536,2250288752,4893868094,12,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.763718e-01,5.763671e-01,449041346,1663374,16800,2236477564,4891925247,1,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.756865e-01,5.756777e-01,449036796,1658812,24481,2239334595,4891911916,1,0,385
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.798909e-01,5.798854e-01,449046112,1672299,32413,2247004939,4891952644,1,0,384
ziria,mainland-ghc710-b5f8a17c,RX 6Mbps,100000000,5.916484e-01,5.916337e-01,449041368,1677027,32679,2297665042,4891934305,0,0,387
